Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Publico;Politecnico;Enfermagem;9500;Licenciatura;15,1;148;46;102;144;4
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Publico;Politecnico;Enfermagem;9500;Licenciatura;14,5;196;49;147;185;11
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;15;166;42;124;152;14
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura;14,1;69;29;40;62;7
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;12,9;51;13;38;47;4
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura;14,3;203;41;162;197;6
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura;14,6;66;21;45;60;6
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura;13,8;79;11;68;77;2
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura;13,3;73;27;46;70;3
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura;12,8;55;23;32;52;3
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia (regime pós-laboral);8419;Licenciatura;13,2;63;44;19;61;2
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura;12,7;126;57;69;124;2
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura;12,9;178;80;98;169;9
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioquímica;9015;Licenciatura;12,9;65;27;38;63;2
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9016;Licenciatura;12,6;79;32;47;74;5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9119;Licenciatura;12,6;199;187;12;193;6
