Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros;TaxaDesempregoRegistadoCurso
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Publico;Politecnico;Enfermagem;9500;Licenciatura 1.º ciclo;13;62;41;21;58;4;1,7
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Publico;Politecnico;Enfermagem;9500;Licenciatura 1.º ciclo;11;;;;;;2,1
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Ciências Agrárias;9022;Licenciatura 1.º ciclo;14,4;9;5;4;8;1;1,4
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia do Ambiente;9099;Licenciatura 1.º ciclo;15,4;11;4;7;5;6;2
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Natureza e Património;L121;Licenciatura 1.º ciclo;15;21;7;14;21;0;3,6
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura 1.º ciclo;;4;4;0;4;0;1,7
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;13;43;19;24;42;1;2,1
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ciências do Mar;9041;Licenciatura 1.º ciclo;15;11;9;2;11;0;1,4
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura 1.º ciclo;14,8;;;;;;2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História;9181;Licenciatura 1.º ciclo;;8;4;4;7;1;
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;14;6;2;4;6;0;3,9
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Serviço Social;9238;Licenciatura 1.º ciclo;16,3;;;;;;3,2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Sociologia;9240;Licenciatura 1.º ciclo;16,5;1;1;0;1;0;1,3
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Património Cultural;9787;Licenciatura 1.º ciclo;16;40;3;37;39;1;1,2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura 1.º ciclo;13,4;52;21;31;51;1;1,6
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Básica;9853;Licenciatura 1.º ciclo;13,5;127;22;105;124;3;0,2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Portugueses e Ingleses;L041;Licenciatura 1.º ciclo;13,4;143;21;122;140;3;0,7
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Euro-Atlânticos;L086;Licenciatura 1.º ciclo;12,5;102;28;74;101;1;1,4
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;16;;;;;;5,2
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão;9147;Licenciatura 1.º ciclo;17,2;;;;;;0,8
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Turismo;9254;Licenciatura 1.º ciclo;13,5;1;1;0;1;0;6,6
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Imagem Animada;8337;Licenciatura 1.º ciclo;13;153;43;110;149;4;5,4
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Ciências da Comunicação;9023;Licenciatura 1.º ciclo;13,9;77;9;68;76;1;4,6
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Design de Comunicação;9070;Licenciatura 1.º ciclo;13,5;38;10;28;35;3;2,2
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Social;9084;Licenciatura 1.º ciclo;;63;37;26;58;5;1,6
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Desporto;9563;Licenciatura 1.º ciclo;16,8;28;10;18;24;4;4
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Básica;9853;Licenciatura 1.º ciclo;;15;3;12;15;0;4,5
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Social (regime pós-laboral);9879;Licenciatura 1.º ciclo;;14;8;6;14;0;1,7
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão;9147;Licenciatura 1.º ciclo;;22;3;19;18;4;0,8
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão (regime nocturno);9148;Licenciatura 1.º ciclo;;3;1;2;3;0;1,3
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão Hoteleira;9173;Licenciatura 1.º ciclo;15,8;10;4;6;10;0;1,7
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Marketing;9205;Licenciatura 1.º ciclo;16,4;8;1;7;2;6;3
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Turismo;9254;Licenciatura 1.º ciclo;;18;12;6;17;1;1,6
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Gestão;9147;Licenciatura 1.º ciclo;13,3;71;48;23;70;1;4,6
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Gestão (regime nocturno);9148;Licenciatura 1.º ciclo;13,6;80;37;43;54;26;0,7
