PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Taxa de desemprego registado no IEFP do curso;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados;TaxaDesempregoRegistadoCurso
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;111;3;2,7
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura;60;7;11,6
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;28;;
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura;210;12;5,7
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura;96;11;11,4
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura;87;16;18,3
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura;44;6;13,6
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura;114;12;10,5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura;96;6;6,2
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura;99;5;5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioquímica;9015;Licenciatura;33;3;9
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9016;Licenciatura;43;5;11,6
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Ciências do Mar;9041;Licenciatura;19;;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9119;Licenciatura;82;5;6
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Ciências Farmacêuticas;9494;MestradoIntegrado;52;1;1,9
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia;9081;Licenciatura;129;11;8,5
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Empresas;9152;Licenciatura;216;26;12
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Sociologia;9240;Licenciatura;85;14;16,4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Administração Pública;9002;Licenciatura;184;28;15,2
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia;9011;Licenciatura;178;11;6,1
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia e Geologia;9012;Licenciatura;46;0;0
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Bioquímica;9015;Licenciatura;154;7;4,5
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biotecnologia;9016;Licenciatura;124;2;1,6
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências do Mar;9041;Licenciatura;17;;
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Design;9069;Licenciatura;202;20;9,9
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Economia;9081;Licenciatura;196;20;10,2
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Materiais;9096;Licenciatura;62;5;8
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia e Gestão Industrial;9104;Licenciatura;221;6;2,7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Geológica;9116;Licenciatura;33;0;0
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Física;9141;Licenciatura;26;;
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão;9147;Licenciatura;173;17;9,8
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Estudos Editoriais;9194;Licenciatura;68;10;14,7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Relações Empresariais;9196;Licenciatura;143;13;9
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;95;4;4,2
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Matemática;9209;Licenciatura;50;2;4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Meteorologia, Oceanografia e Geofísica;9212;Licenciatura;38;0;0
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Música;9214;Licenciatura;157;7;4,4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Novas Tecnologias da Comunicação;9215;Licenciatura;231;18;7,7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Psicologia;9219;Licenciatura;100;4;4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Química;9223;Licenciatura;35;3;8,5
