PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Percentagem de recém-diplomados do curso que estão registados no IEFP como desempregados;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados (média junho e dezembro 2016);TaxaDesempregoRegistadoCurso
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão Turística (regime pós-laboral);9996;Licenciatura;328;8,5;2,5
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão do Lazer e Animação Turística (regime pós-laboral);9995;Licenciatura;207;7;3,3
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Direcção e Gestão Hoteleira (regime pós-laboral);9875;Licenciatura;408;13,5;3,3
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Produção Alimentar em Restauração;9217;Licenciatura;251;10,5;4,1
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Informação Turística;9183;Licenciatura;141;4;2,8
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão Turística;9177;Licenciatura;328;8,5;2,5
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão do Lazer e Animação Turística;9163;Licenciatura;207;7;3,3
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Direcção e Gestão Hoteleira;9076;Licenciatura;408;13,5;3,3
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Produção Alimentar em Restauração (regime pós-laboral);8011;Licenciatura;251;10,5;4,1
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Engenharia Eletrotécnica Marítima;L118;Licenciatura;0;;
