;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2014/15 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Abrantes; 123; 2; 36; 3; 0; 25; 0; 0; 5; 2; 2; 4; 9; 59; 0; 105; 56; 0; 0; 41; 0; 6; 0; 0; 3; 0; 0; 5; 0; 41; 382; 0; 0; 1; 0; 1; 0; 0; 2; 11; 0; 0; 0; 5; 0; 0; 20; 2; 22; 0; 6; 0; 34; 0; 1; 1; 0; 0; 78; 9; 0; 0; 0; 0; 0; 0; 0; 2; 1
Águeda; 1; 171; 0; 0; 0; 377; 1; 0; 0; 11; 3; 0; 0; 11; 0; 334; 33; 0; 0; 9; 0; 9; 0; 0; 20; 0; 0; 2; 2; 21; 144; 0; 0; 2; 0; 7; 0; 3; 0; 5; 13; 4; 3; 4; 0; 1; 3; 0; 97; 0; 2; 0; 1; 0; 4; 2; 0; 0; 2; 0; 0; 0; 3; 3; 0; 1; 12; 17; 80
Aguiar da Beira; 2; 0; 1; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 2; 0; 18; 22; 0; 0; 1; 0; 0; 0; 0; 5; 0; 0; 1; 0; 0; 12; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 4; 0; 1; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 36
Alandroal; 0; 0; 3; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 1; 0; 3; 0; 3; 0; 23; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 1; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Albergaria-a-Velha; 0; 35; 3; 1; 0; 217; 1; 0; 0; 4; 1; 4; 0; 2; 0; 91; 44; 0; 0; 0; 0; 0; 2; 0; 7; 0; 0; 0; 0; 6; 33; 0; 0; 2; 0; 2; 1; 2; 0; 1; 23; 0; 0; 2; 1; 2; 1; 0; 76; 0; 0; 3; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 6; 7; 22
Albufeira; 0; 0; 22; 0; 0; 6; 1; 0; 13; 3; 0; 2; 3; 3; 0; 19; 14; 2; 0; 30; 0; 377; 0; 0; 0; 0; 0; 0; 0; 4; 252; 8; 0; 0; 0; 0; 0; 2; 0; 15; 0; 0; 3; 0; 0; 0; 2; 23; 14; 0; 2; 0; 1; 0; 0; 6; 18; 1; 3; 0; 0; 0; 0; 0; 0; 0; 2; 2; 4
Alcácer do Sal; 0; 0; 12; 0; 0; 2; 0; 0; 21; 0; 0; 2; 2; 0; 0; 2; 5; 0; 0; 44; 0; 13; 0; 0; 0; 0; 0; 0; 0; 1; 64; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 4; 1; 0; 0; 0; 0; 2; 0; 0; 31; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Alcanena; 2; 0; 12; 1; 0; 15; 0; 0; 0; 0; 2; 5; 3; 6; 0; 31; 12; 1; 0; 12; 0; 3; 0; 0; 0; 0; 0; 0; 0; 44; 134; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 1; 0; 7; 0; 1; 1; 0; 4; 0; 4; 0; 19; 0; 0; 1; 0; 0; 16; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1
Alcobaça; 4; 2; 61; 5; 0; 55; 0; 1; 7; 6; 2; 57; 11; 13; 0; 209; 25; 1; 0; 47; 0; 13; 0; 0; 5; 0; 0; 1; 0; 471; 759; 0; 0; 1; 5; 2; 0; 3; 0; 28; 0; 1; 1; 45; 0; 0; 8; 0; 27; 0; 31; 0; 31; 0; 1; 6; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 1; 4; 5
Alcochete; 0; 0; 29; 3; 0; 1; 0; 2; 0; 1; 0; 2; 5; 0; 0; 2; 2; 1; 0; 10; 0; 6; 0; 0; 1; 0; 0; 1; 0; 1; 354; 0; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 1; 0; 0; 0; 2; 1; 2; 0; 0; 0; 1; 0; 0; 52; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
Alcoutim; 0; 0; 1; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 2; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 8; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alenquer; 2; 0; 40; 0; 0; 5; 1; 1; 1; 2; 2; 16; 9; 6; 0; 13; 3; 2; 0; 12; 0; 9; 0; 1; 1; 0; 0; 0; 0; 11; 596; 0; 0; 0; 0; 0; 0; 0; 5; 26; 0; 0; 0; 8; 4; 0; 3; 0; 6; 0; 16; 0; 95; 0; 0; 5; 0; 1; 5; 0; 6; 1; 1; 0; 0; 0; 1; 4; 1
Alfândega da Fé; 0; 0; 0; 0; 0; 6; 0; 0; 1; 6; 63; 0; 0; 1; 0; 26; 4; 0; 0; 1; 0; 0; 0; 0; 3; 0; 0; 0; 1; 0; 5; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 19; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 16; 0
