,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Abrantes, 104, 2, 32, 2, 0, 26, 0, 1, 2, 3, 3, 2, 7, 70, 0, 114, 58, 2, 0, 32, 0, 5, 0, 1, 2, 0, 0, 7, 0, 41, 365, 0, 1, 0, 1, 0, 0, 0, 12, 1, 0, 0, 0, 9, 0, 0, 16, 2, 9, 0, 6, 0, 41, 0, 2, 5, 1, 0, 83, 2, 0, 0, 0, 0, 1, 0, 0, 2, 2
Águeda, 1, 148, 2, 0, 0, 325, 2, 0, 2, 13, 2, 4, 0, 10, 0, 367, 35, 0, 0, 8, 0, 10, 0, 0, 20, 0, 0, 2, 2, 25, 148, 0, 2, 0, 6, 0, 2, 0, 4, 12, 6, 2, 0, 2, 0, 1, 1, 0, 93, 0, 4, 0, 2, 0, 4, 1, 0, 0, 1, 0, 0, 0, 3, 2, 0, 1, 14, 18, 84
Aguiar da Beira, 2, 0, 1, 0, 0, 13, 0, 0, 0, 0, 2, 0, 0, 2, 0, 22, 19, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
Alandroal, 0, 0, 5, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 1, 0, 2, 1, 5, 0, 28, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Albergaria-a-Velha, 1, 33, 1, 1, 0, 216, 0, 0, 0, 5, 1, 3, 0, 7, 0, 101, 41, 0, 0, 0, 0, 1, 2, 0, 11, 0, 0, 0, 0, 5, 34, 0, 1, 0, 3, 0, 1, 0, 1, 23, 0, 0, 0, 2, 1, 0, 1, 0, 79, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 8, 26
Albufeira, 0, 0, 23, 1, 0, 8, 1, 0, 20, 3, 0, 3, 5, 3, 0, 27, 11, 2, 0, 33, 0, 365, 0, 0, 0, 0, 0, 0, 0, 4, 275, 4, 2, 0, 1, 0, 2, 0, 17, 0, 0, 3, 0, 0, 1, 0, 3, 26, 14, 0, 1, 0, 0, 0, 0, 5, 16, 1, 3, 0, 0, 0, 1, 1, 0, 0, 3, 2, 4
Alcácer do Sal, 0, 0, 14, 0, 0, 2, 0, 0, 22, 0, 0, 1, 1, 1, 0, 3, 6, 0, 0, 41, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 80, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Alcanena, 2, 0, 12, 1, 0, 12, 0, 0, 1, 0, 1, 6, 1, 8, 0, 29, 10, 1, 0, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 50, 144, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 0, 0, 11, 0, 1, 2, 0, 4, 0, 7, 0, 25, 0, 0, 1, 0, 0, 17, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2
Alcobaça, 4, 4, 56, 5, 0, 47, 0, 1, 4, 7, 3, 66, 12, 16, 0, 190, 20, 1, 0, 43, 0, 8, 0, 0, 5, 0, 0, 1, 0, 441, 715, 0, 0, 8, 3, 0, 3, 0, 35, 0, 0, 1, 0, 51, 0, 0, 8, 0, 27, 0, 34, 0, 44, 0, 1, 7, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5
