;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por concelho do estabelecimento de ensino superior e concelho da residência permanente do aluno, em 2017/18 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Abrantes; 102; 1; 31; 0; 0; 1; 20; 0; 1; 4; 3; 1; 8; 8; 56; 1; 109; 60; 1; 29; 0; 7; 0; 2; 4; 0; 7; 0; 47; 362; 0; 0; 1; 0; 1; 0; 9; 1; 0; 0; 0; 7; 0; 0; 19; 1; 17; 2; 0; 27; 0; 3; 4; 0; 0; 85; 0; 0; 0; 0; 0; 0; 0; 2; 5
Águeda; 1; 117; 7; 0; 0; 0; 285; 4; 0; 0; 13; 3; 7; 0; 13; 0; 368; 45; 0; 11; 0; 11; 1; 0; 22; 0; 3; 7; 30; 154; 1; 0; 7; 0; 1; 0; 5; 10; 6; 0; 0; 4; 0; 1; 1; 0; 121; 0; 1; 0; 0; 2; 3; 0; 0; 5; 0; 0; 1; 0; 0; 0; 13; 17; 94
Aguiar da Beira; 1; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 2; 0; 0; 2; 0; 22; 17; 0; 0; 0; 0; 0; 0; 9; 0; 0; 2; 0; 6; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 2; 4; 26
Alandroal; 0; 0; 6; 0; 0; 0; 0; 0; 1; 10; 0; 0; 0; 1; 2; 0; 2; 1; 6; 31; 0; 8; 0; 0; 1; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Albergaria-a-Velha; 1; 39; 5; 0; 0; 0; 211; 1; 0; 0; 8; 1; 3; 0; 6; 0; 120; 28; 0; 0; 0; 1; 0; 0; 14; 0; 1; 1; 9; 55; 5; 0; 3; 0; 0; 0; 3; 16; 1; 1; 0; 0; 0; 0; 0; 0; 90; 0; 4; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 0; 7; 9; 29
Albufeira; 0; 4; 23; 0; 0; 0; 7; 0; 0; 27; 4; 1; 4; 1; 5; 0; 30; 5; 1; 48; 0; 336; 0; 0; 2; 0; 0; 0; 7; 284; 5; 0; 2; 0; 2; 0; 14; 0; 1; 0; 0; 0; 1; 0; 2; 24; 17; 3; 0; 1; 0; 0; 11; 11; 1; 4; 0; 0; 0; 3; 0; 0; 6; 0; 4
Alcácer do Sal; 1; 0; 15; 0; 0; 0; 0; 0; 0; 24; 1; 0; 0; 1; 3; 0; 2; 5; 0; 36; 0; 6; 0; 0; 1; 0; 0; 0; 1; 74; 0; 0; 1; 0; 0; 0; 7; 0; 1; 0; 0; 0; 0; 0; 3; 2; 1; 0; 0; 0; 0; 0; 30; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 3
Alcanena; 0; 1; 6; 0; 0; 0; 9; 0; 0; 1; 2; 3; 2; 1; 6; 0; 33; 14; 0; 10; 0; 2; 0; 0; 0; 0; 1; 0; 46; 133; 0; 0; 1; 0; 0; 0; 12; 1; 1; 0; 0; 16; 0; 1; 3; 0; 7; 1; 0; 5; 0; 0; 0; 0; 0; 19; 0; 0; 0; 1; 0; 0; 0; 4; 1
Alcobaça; 3; 5; 45; 3; 0; 0; 51; 2; 0; 6; 9; 6; 62; 17; 23; 0; 173; 29; 2; 37; 0; 14; 0; 0; 6; 0; 0; 0; 468; 552; 0; 9; 1; 0; 1; 0; 23; 2; 1; 2; 0; 56; 0; 0; 7; 1; 29; 12; 0; 18; 0; 0; 4; 0; 0; 18; 0; 0; 1; 1; 0; 0; 0; 4; 9
Alcochete; 0; 0; 37; 2; 0; 0; 1; 0; 6; 3; 1; 0; 1; 9; 3; 0; 5; 3; 1; 15; 0; 5; 0; 0; 0; 0; 0; 0; 1; 408; 0; 0; 0; 0; 1; 4; 4; 0; 0; 0; 0; 0; 0; 0; 1; 0; 2; 0; 0; 1; 0; 1; 75; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alcoutim; 0; 0; 2; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 2; 0; 0; 1; 0; 3; 0; 26; 0; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alenquer; 1; 0; 44; 0; 0; 0; 4; 1; 0; 2; 0; 3; 10; 8; 4; 0; 14; 5; 1; 16; 0; 9; 1; 0; 1; 0; 1; 0; 19; 664; 0; 0; 0; 0; 0; 2; 24; 0; 0; 0; 0; 22; 0; 0; 2; 0; 5; 9; 0; 55; 0; 0; 6; 0; 4; 7; 3; 0; 0; 0; 0; 0; 0; 0; 2
Alfândega da Fé; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 4; 46; 0; 0; 2; 0; 12; 6; 0; 3; 0; 0; 0; 0; 2; 0; 0; 0; 1; 6; 0; 0; 1; 0; 8; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 16; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 9; 0
Alijó; 1; 0; 0; 0; 0; 0; 6; 0; 0; 0; 9; 43; 0; 0; 2; 0; 15; 4; 0; 3; 0; 1; 0; 1; 2; 0; 0; 4; 0; 16; 0; 0; 2; 0; 20; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 92; 3
Aljezur; 0; 0; 6; 0; 0; 0; 1; 0; 0; 2; 2; 0; 0; 0; 1; 0; 9; 2; 0; 3; 0; 21; 0; 0; 0; 0; 0; 0; 0; 34; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 4; 2; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Aljustrel; 0; 0; 12; 0; 0; 0; 0; 0; 0; 73; 0; 0; 0; 0; 4; 0; 4; 0; 0; 25; 0; 29; 0; 0; 0; 0; 0; 0; 0; 54; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 2; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Almada; 1; 1;1 162; 12; 0; 0; 14; 3; 35; 13; 10; 5; 16; 64; 18; 0; 24; 15; 2; 60; 0; 17; 0; 0; 3; 0; 0; 1; 7;3 361; 0; 0; 0; 0; 4; 5; 95; 0; 1; 0; 0; 10; 2; 0; 12; 1; 22; 1; 0; 7; 0; 0; 360; 0; 0; 8; 1; 1; 4; 0; 0; 0; 0; 4; 2
