;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Abrantes; 100; 1; 30; 1; 0; 0; 17; 0; 22; 4; 4; 1; 11; 7; 62; 0; 118; 65; 0; 30; 0; 8; 0; 1; 2; 0; 5; 0; 53; 380; 0; 0; 1; 0; 3; 0; 11; 2; 0; 0; 0; 14; 0; 0; 22; 1; 19; 9; 0; 38; 1; 4; 0; 0; 83; 0; 0; 0; 0; 0; 0; 1; 2; 3
Águeda; 1; 120; 8; 0; 0; 0; 295; 3; 0; 0; 10; 3; 4; 0; 13; 0; 366; 51; 0; 13; 0; 9; 1; 0; 20; 0; 3; 8; 28; 171; 2; 0; 10; 0; 1; 0; 3; 16; 7; 0; 0; 3; 1; 1; 2; 0; 128; 0; 2; 0; 2; 6; 0; 0; 3; 0; 0; 0; 0; 0; 1; 7; 15; 97
Aguiar da Beira; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 1; 2; 0; 0; 1; 0; 25; 15; 0; 0; 0; 0; 0; 0; 9; 0; 0; 2; 0; 7; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 2; 3; 36
Alandroal; 0; 0; 5; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 3; 0; 3; 0; 4; 29; 0; 6; 0; 0; 0; 0; 0; 0; 0; 16; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Albergaria-a-Velha; 2; 43; 4; 0; 0; 0; 215; 1; 0; 0; 12; 2; 4; 0; 2; 0; 119; 27; 1; 0; 0; 2; 0; 0; 10; 0; 3; 1; 10; 41; 4; 0; 3; 0; 0; 0; 4; 19; 2; 1; 0; 0; 1; 0; 0; 0; 91; 0; 3; 0; 1; 1; 0; 0; 2; 0; 0; 0; 0; 0; 0; 7; 7; 30
Albufeira; 0; 2; 18; 0; 0; 1; 3; 0; 0; 30; 3; 1; 5; 3; 0; 0; 41; 5; 2; 47; 0; 351; 0; 0; 2; 0; 1; 0; 13; 311; 4; 0; 0; 0; 2; 0; 15; 0; 2; 0; 0; 1; 1; 0; 1; 34; 10; 5; 0; 2; 0; 7; 9; 0; 2; 0; 0; 0; 2; 0; 0; 5; 0; 1
Alcácer do Sal; 2; 0; 13; 0; 0; 0; 0; 0; 0; 29; 1; 1; 0; 0; 0; 0; 1; 4; 0; 31; 0; 6; 0; 0; 1; 0; 0; 0; 1; 75; 0; 0; 0; 0; 0; 0; 6; 0; 1; 0; 0; 0; 0; 0; 4; 1; 1; 0; 0; 1; 0; 27; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 2
Alcanena; 4; 1; 2; 0; 0; 0; 12; 0; 0; 1; 2; 3; 2; 0; 6; 0; 34; 17; 0; 12; 0; 2; 0; 0; 0; 0; 1; 0; 48; 124; 0; 0; 1; 0; 0; 0; 8; 1; 2; 0; 0; 12; 0; 0; 3; 0; 5; 5; 0; 11; 0; 1; 0; 0; 16; 0; 0; 0; 1; 0; 0; 0; 3; 0
Alcobaça; 1; 6; 35; 1; 0; 1; 61; 1; 0; 7; 10; 5; 81; 20; 31; 0; 170; 32; 4; 39; 0; 14; 1; 0; 4; 0; 2; 0; 477; 529; 0; 9; 3; 0; 0; 0; 21; 3; 1; 1; 0; 64; 0; 0; 6; 2; 36; 16; 0; 32; 0; 3; 0; 0; 18; 0; 0; 1; 0; 0; 0; 0; 4; 11
Alcochete; 0; 0; 41; 2; 0; 0; 3; 0; 3; 3; 0; 0; 0; 7; 1; 0; 4; 2; 1; 17; 0; 5; 0; 0; 0; 0; 0; 0; 1; 425; 0; 0; 0; 0; 1; 1; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1; 1; 83; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alcoutim; 0; 0; 2; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 1; 1; 0; 4; 0; 26; 0; 0; 0; 0; 0; 0; 1; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alenquer; 3; 0; 39; 0; 0; 0; 4; 1; 0; 2; 2; 3; 8; 11; 4; 0; 12; 9; 1; 18; 0; 13; 0; 0; 3; 0; 1; 0; 19; 721; 0; 0; 1; 0; 0; 2; 23; 0; 0; 0; 0; 20; 0; 0; 8; 0; 8; 13; 0; 115; 1; 7; 0; 3; 7; 2; 0; 0; 0; 0; 0; 0; 0; 2
Alfândega da Fé; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 3; 43; 0; 0; 4; 0; 10; 4; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 1; 4; 1; 0; 1; 0; 12; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 13; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 13; 0
Alijó; 1; 0; 0; 0; 0; 0; 7; 0; 0; 1; 6; 34; 0; 0; 2; 0; 13; 3; 0; 2; 0; 1; 0; 1; 2; 0; 0; 7; 0; 12; 0; 0; 4; 0; 20; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 36; 0; 0; 3; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 3; 78; 4
Aljezur; 0; 0; 8; 0; 0; 0; 0; 0; 0; 2; 1; 1; 0; 0; 1; 0; 8; 4; 0; 3; 0; 25; 0; 0; 0; 0; 0; 0; 0; 37; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 4; 2; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Aljustrel; 0; 0; 11; 0; 0; 0; 0; 0; 0; 65; 0; 0; 0; 0; 3; 0; 6; 0; 0; 25; 0; 24; 0; 0; 0; 0; 0; 0; 0; 53; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 2; 0; 1; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Almada; 1; 0;1 154; 12; 0; 0; 17; 3; 18; 10; 12; 7; 10; 49; 12; 0; 20; 12; 4; 68; 0; 25; 0; 1; 4; 0; 0; 1; 9;3 500; 0; 0; 0; 0; 5; 5; 96; 0; 2; 0; 0; 10; 3; 1; 12; 0; 24; 2; 0; 10; 0; 389; 0; 0; 9; 1; 1; 1; 0; 0; 0; 1; 3; 5
Almeida; 0; 1; 4; 0; 0; 0; 6; 0; 0; 0; 2; 7; 0; 0; 7; 0; 31; 20; 0; 2; 0; 1; 0; 0; 38; 0; 0; 2; 0; 17; 0; 0; 0; 0; 1; 0; 4; 0; 0; 0; 0; 1; 0; 0; 0; 1; 5; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 7
Almeirim; 0; 1; 16; 0; 0; 0; 14; 0; 0; 1; 4; 0; 5; 2; 10; 0; 39; 13; 0; 30; 0; 4; 0; 0; 1; 1; 1; 0; 19; 191; 0; 0; 1; 0; 0; 0; 9; 0; 1; 0; 0; 7; 0; 0; 5; 1; 12; 8; 0; 126; 0; 5; 0; 1; 5; 0; 0; 0; 0; 0; 0; 1; 2; 1
Almodôvar; 0; 0; 3; 0; 0; 0; 0; 0; 0; 29; 1; 0; 0; 0; 1; 0; 6; 0; 0; 1; 0; 41; 0; 0; 0; 0; 0; 0; 1; 38; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 2; 1; 1; 0; 0; 0; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alpiarça; 3; 0; 6; 1; 0; 0; 4; 0; 0; 1; 0; 2; 2; 3; 2; 0; 9; 4; 1; 13; 0; 2; 0; 0; 0; 0; 0; 0; 5; 82; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 2; 1; 0; 0; 1; 1; 3; 0; 35; 0; 1; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alter do Chão; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 2; 0; 2; 4; 9; 10; 0; 0; 0; 0; 0; 0; 0; 0; 1; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 20; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alvaiázere; 0; 1; 1; 0; 0; 0; 4; 0; 0; 0; 0; 0; 3; 0; 5; 0; 64; 5; 0; 5; 0; 1; 0; 0; 0; 0; 0; 0; 15; 15; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 1; 0; 0; 3; 0; 2; 1; 0; 3; 0; 1; 0; 0; 21; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alvito; 1; 0; 0; 0; 0; 0; 0; 0; 0; 19; 0; 0; 0; 0; 0; 0; 1; 2; 0; 12; 0; 3; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Amadora; 1; 1; 257; 19; 0; 0; 13; 2; 29; 7; 5; 15; 10; 101; 14; 0; 26; 14; 5; 19; 0; 15; 0; 0; 5; 0; 5; 0; 14;4 132; 0; 0; 4; 0; 6; 42; 171; 1; 1; 0; 0; 5; 1; 0; 6; 0; 18; 3; 0; 18; 2; 40; 0; 2; 8; 0; 1; 2; 0; 0; 0; 2; 1; 2
Amarante; 2; 3; 2; 0; 0; 0; 39; 14; 0; 0; 111; 146; 6; 0; 9; 0; 164; 26; 0; 2; 12; 1; 118; 0; 1; 1; 0; 6; 6; 45; 48; 0; 58; 0; 31; 0; 1; 2; 1; 31; 22; 3; 1; 2; 1; 0; 537; 0; 0; 0; 1; 1; 0; 0; 1; 0; 2; 2; 14; 0; 1; 35; 231; 32
