;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Abrantes;87;0;32;1;0;0;15;0;15;4;3;1;13;10;69;0;106;82;2;20;0;8;0;2;2;0;5;0;63;326;1;0;1;0;3;0;10;0;0;0;0;11;0;0;22;1;20;13;0;42;0;3;0;0;94;0;0;0;0;0;0;2;3
Águeda;0;129;7;0;0;0;300;1;0;2;17;3;1;9;16;0;354;60;0;14;0;8;1;1;20;0;3;7;26;178;1;0;12;0;1;0;2;17;9;0;0;2;3;1;1;1;133;1;3;1;1;5;0;0;4;0;0;1;0;1;10;19;96
Aguiar da Beira;1;0;0;0;0;0;5;0;0;0;0;1;0;1;2;0;30;12;0;0;0;0;0;0;12;0;0;2;0;10;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;2;0;0;0;0;1;1;4;45
Alandroal;0;0;7;0;0;0;0;0;0;8;0;0;0;0;3;0;5;3;8;33;0;6;0;0;0;0;0;0;0;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
Albergaria-a-Velha;1;42;5;0;0;0;248;0;0;1;12;1;4;2;4;0;134;30;1;0;0;2;0;0;10;0;2;1;10;39;4;0;3;1;0;0;3;24;3;1;0;2;1;1;0;0;85;0;5;0;1;1;0;0;2;0;0;1;0;0;4;7;27
Albufeira;1;1;18;0;0;0;5;0;0;37;3;1;3;8;1;0;43;8;2;50;0;360;0;0;2;0;1;0;14;278;3;0;0;0;1;0;11;0;2;0;0;2;0;0;0;42;11;7;0;4;0;8;7;0;3;0;0;1;0;0;4;2;2
Alcácer do Sal;1;0;15;0;0;0;0;0;0;25;0;2;0;0;0;0;1;4;1;35;0;7;0;0;3;0;0;0;1;74;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;1;0;0;0;0;23;0;0;1;0;0;0;0;0;0;0;2
Alcanena;3;1;2;0;0;0;17;0;0;0;2;2;5;5;5;0;37;25;0;13;0;2;0;0;1;0;0;0;48;118;0;0;2;0;0;0;7;1;1;0;1;14;0;0;2;0;3;5;0;15;0;1;0;0;14;0;0;0;0;0;0;4;0
Alcobaça;2;3;30;2;0;1;68;1;0;9;12;3;73;27;31;0;193;34;4;39;0;18;1;0;4;0;3;1;472;526;0;14;3;0;6;0;19;3;1;1;0;66;0;0;4;2;33;25;0;45;0;2;0;0;22;0;0;0;0;0;0;4;9
Alcochete;0;0;38;2;0;0;3;0;3;3;2;0;1;14;0;0;3;2;1;18;0;5;0;0;0;0;0;0;1;452;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;1;0;0;6;1;86;0;0;2;0;0;0;0;0;0;0;0
Alcoutim;0;0;2;0;0;0;0;0;0;7;0;0;0;0;0;0;3;0;0;5;0;23;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Alenquer;3;1;49;1;0;0;3;0;0;2;3;4;9;13;7;0;15;9;0;22;0;10;0;0;3;0;1;0;29;746;0;0;2;0;0;1;21;0;0;0;0;17;0;0;5;0;11;24;0;162;0;7;0;3;4;0;0;1;0;0;0;0;2
Alfândega da Fé;0;0;0;0;0;0;2;1;0;0;3;48;0;0;5;0;6;3;0;0;0;0;0;0;0;0;0;0;1;4;1;0;2;0;10;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;1;14;1
