;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Portugal;162 956; 234; 542; 898; 362; 248;5 343;2 746; 409;1 637;6 605;4 785;1 170;2 775;2 502;17 320;3 143; 234;3 802;5 001;1 084;1 904;1 706; 341; 429;5 409;42 950;3 024; 209;1 251;2 593; 182; 384; 974;1 615; 303;1 275; 337;15 488; 823;1 851; 189;4 190;1 160; 383;2 167; 907;2 090;4 381;3 601
Abrantes; 675;54;0;6;1;0;5;0;13;4;0;1;12;8;55;68;60;0;14;8;0;0;2;5;0;46;163;1;0;3;5;0;0;9;0;0;20;1;7;12;22;0;3;63;0;0;0;0;2;2
Águeda; 745;0;57;0;0;0;142;1;0;0;7;3;1;7;15;220;38;0;5;4;1;1;19;2;6;23;44;2;0;1;2;5;9;2;3;1;1;1;18;1;1;1;5;4;0;0;0;6;13;73
Aguiar da Beira; 96;1;0;0;0;0;3;0;0;0;0;1;0;1;2;22;8;0;0;0;0;0;9;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;3;34
Alandroal; 67;0;0;0;0;0;0;0;0;5;0;0;0;0;1;2;2;4;26;5;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;2;0;0;0;0;0;0;0
Albergaria-a-Velha; 348;1;19;0;0;0;105;0;0;1;3;1;2;2;2;100;16;0;0;2;0;0;8;2;1;7;13;3;1;0;3;7;3;0;1;1;0;0;12;0;0;1;1;2;0;0;0;3;3;22
Albufeira; 568;1;1;0;0;0;4;0;0;29;0;1;2;6;0;24;4;2;36;260;0;0;2;1;0;8;130;0;0;1;8;0;2;2;0;0;0;17;0;7;2;0;7;3;0;0;1;3;2;2
Alcácer do Sal; 117;1;0;0;0;0;0;0;0;16;0;2;0;0;0;1;1;0;26;6;0;0;3;0;0;1;34;0;0;0;3;0;0;0;0;0;3;0;1;0;0;0;16;1;0;0;0;0;0;2
Alcanena; 199;0;1;0;0;0;10;0;0;0;0;2;1;3;5;24;17;0;11;2;0;0;1;0;0;35;48;2;0;0;4;1;1;8;0;0;2;0;1;2;8;0;1;8;0;0;0;0;1;0
Alcobaça;1 043;2;3;2;1;0;34;1;0;7;4;3;48;10;21;112;11;2;29;13;0;0;4;0;1;336;245;2;0;5;10;2;1;52;0;0;4;2;9;17;21;0;1;18;0;0;0;0;3;7
Alcochete; 322;0;0;6;2;0;1;0;2;3;2;0;1;13;0;2;0;0;16;2;0;0;0;0;0;0;203;0;0;0;4;0;0;0;0;0;0;0;0;0;5;1;57;2;0;0;0;0;0;0
