;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column1;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Porto;2;6;11;16;2;179;20;0;1;312;31;7;10;8;2;205;37;1;2;11;2;28;10;2;12;2;0;0;1;7;522;0;0;471;0;624;0;9;0;9;8;1;78;3;2;46;2;0;10972;6;0;3;2;0;4;0;0;2;1;0;0;1;13;130;1;18;101;86;20
Vila Nova de Gaia;0;8;14;5;0;559;22;0;2;191;48;11;10;27;1;184;68;0;16;13;1;23;9;0;10;2;0;0;3;10;282;0;0;344;0;716;0;9;0;5;10;0;69;1;2;17;0;0;6342;0;2;16;1;0;3;2;0;4;5;0;0;0;22;97;0;9;501;121;19
Matosinhos;0;0;8;3;0;109;8;0;1;157;23;7;10;2;1;60;25;0;0;7;0;6;8;1;5;0;0;0;1;6;203;0;0;445;0;535;0;1;0;5;6;0;65;1;0;8;1;0;4269;0;1;0;2;0;2;1;0;1;2;0;0;0;13;133;0;6;56;55;6
Gondomar;0;5;6;1;0;95;14;0;0;105;10;8;2;4;1;84;28;1;0;0;1;12;12;1;5;0;0;0;3;5;165;0;0;304;0;458;0;5;0;2;2;1;100;0;0;6;2;0;3421;0;1;2;1;0;3;1;0;0;4;0;0;1;4;68;0;7;58;67;9
Maia;0;1;5;3;0;110;13;0;1;169;10;2;4;4;0;89;28;0;0;5;0;8;15;0;3;2;0;0;0;4;150;0;0;514;0;414;3;3;0;6;1;0;46;2;1;4;0;0;3156;0;1;0;0;0;0;1;0;2;1;0;0;1;18;91;0;21;37;44;5
Valongo;1;1;3;0;0;48;14;0;1;98;16;5;0;2;2;52;24;1;0;3;0;3;11;0;3;0;0;0;0;1;94;0;0;204;0;218;0;2;1;1;2;0;102;0;0;6;1;0;1805;0;1;1;0;0;0;0;0;0;0;0;0;2;9;33;0;5;21;54;3
Santa Maria da Feira;3;17;5;0;1;523;4;0;2;78;27;8;0;12;0;335;88;1;6;8;0;9;3;0;15;0;0;1;4;12;119;0;0;127;0;143;2;3;0;4;72;2;33;6;2;4;2;1;1752;0;0;175;1;0;5;1;1;1;6;0;0;0;13;19;1;2;96;79;45
Vila do Conde;0;4;3;0;2;39;45;0;0;126;18;3;3;4;0;62;17;0;0;4;0;4;4;0;8;0;0;1;2;2;62;0;0;227;0;87;1;4;0;2;0;0;26;3;0;11;0;0;1202;0;0;0;0;0;0;0;0;1;1;0;0;1;46;209;0;41;16;51;10
Vila Nova de Famalicão;2;5;15;2;0;115;236;0;2;1083;67;5;2;15;4;297;61;0;0;11;6;7;26;1;13;2;0;1;2;14;342;0;0;173;0;70;6;7;1;3;1;0;36;5;0;15;3;2;1143;1;1;0;0;0;0;1;0;1;3;0;1;4;128;69;0;410;14;100;23
Paredes;1;0;2;0;0;53;6;0;1;64;54;2;1;3;2;80;16;0;0;1;1;2;72;0;8;1;0;0;3;1;70;0;0;81;0;146;0;12;0;1;0;0;162;2;2;1;1;1;1003;0;0;0;0;0;2;0;0;2;0;0;0;3;5;17;0;2;12;91;10
Braga;2;3;15;1;0;90;819;0;0;5745;67;12;6;11;5;1688;58;0;0;14;29;20;13;0;15;5;0;0;0;7;335;0;0;67;0;39;18;7;1;7;3;1;49;6;2;44;4;1;987;74;0;0;0;0;5;1;0;3;7;0;0;9;211;16;1;173;6;124;17
Penafiel;0;1;1;1;1;54;8;0;1;72;99;1;0;3;5;96;30;0;0;0;0;3;77;0;8;1;0;1;2;3;67;0;0;71;0;90;0;32;1;0;2;1;112;1;0;7;0;0;942;0;0;0;0;0;1;2;0;2;0;0;0;3;5;15;0;4;15;97;21
Póvoa de Varzim;0;1;5;0;0;41;69;0;0;197;13;1;0;2;4;74;26;0;0;2;0;3;3;0;4;1;1;0;1;6;67;0;0;138;0;46;0;1;0;1;0;0;26;0;0;6;2;0;907;2;0;0;2;0;0;0;0;0;1;0;0;3;79;158;2;47;8;32;10
Guimarães;0;8;9;3;3;81;135;0;3;2130;140;11;3;7;9;417;86;0;0;9;99;17;144;0;25;25;0;4;3;23;130;0;0;98;0;63;11;50;0;4;2;1;36;4;2;14;2;1;879;21;0;0;1;0;5;1;0;2;7;0;0;6;110;55;1;185;6;245;33
Santo Tirso;0;0;0;3;1;47;26;0;1;284;51;0;2;7;2;76;28;0;0;3;1;7;47;1;5;0;0;0;0;2;76;0;0;92;0;71;1;4;0;2;0;0;26;0;1;3;1;1;866;1;0;0;1;0;3;1;0;1;4;0;0;0;23;20;0;96;5;52;11
Viana do Castelo;0;1;13;1;3;104;96;0;1;413;23;5;0;7;0;173;50;0;0;7;1;12;5;0;7;1;0;1;0;11;162;0;1;31;0;54;25;3;0;7;3;1;14;1;1;49;5;1;807;1;0;0;3;0;0;1;0;3;1;0;0;27;994;12;15;12;3;74;14
Barcelos;0;2;7;0;2;110;830;0;0;981;57;6;1;6;2;427;72;0;0;9;1;9;5;0;22;0;0;0;2;19;113;0;0;47;0;33;14;2;0;1;1;0;39;2;0;58;5;0;735;2;0;0;3;0;4;0;0;1;5;0;0;15;268;35;3;95;5;191;21
Ovar;0;18;3;0;0;422;3;0;3;26;10;1;2;12;0;116;39;0;4;6;0;6;0;0;10;0;0;0;1;8;56;0;0;19;0;38;0;1;0;2;29;1;9;0;0;2;2;0;654;0;1;55;0;0;1;0;0;2;5;0;0;0;0;7;0;0;34;19;32
Amarante;0;2;1;0;0;31;15;0;1;108;114;4;0;3;1;111;34;0;0;2;5;4;136;0;8;0;0;0;5;1;38;0;2;38;0;55;0;24;2;2;2;1;34;1;1;1;0;0;637;3;0;0;0;0;0;0;0;0;1;0;0;0;6;10;0;2;12;278;28
Espinho;1;6;1;1;0;189;2;0;0;25;1;1;1;8;0;44;13;0;31;2;0;1;0;0;5;0;0;0;0;5;37;0;0;31;0;30;0;2;0;4;11;0;6;1;0;2;0;0;601;0;0;12;0;0;0;0;0;0;1;0;0;0;1;4;0;1;34;13;5
Marco de Canaveses;0;2;1;0;0;54;6;0;1;68;93;1;0;3;1;91;16;0;0;1;1;1;37;1;9;0;0;0;6;6;41;0;0;31;0;45;0;11;0;0;0;0;30;0;0;11;0;0;548;0;0;0;1;0;1;0;0;0;2;0;0;1;2;15;0;0;11;157;38
Paços de Ferreira;0;3;2;0;0;40;14;0;0;129;68;2;0;3;3;65;33;0;0;1;0;3;59;0;5;0;0;0;2;4;49;0;0;83;0;65;2;8;0;2;1;2;52;1;0;1;0;0;540;1;0;0;2;0;4;0;0;0;2;0;0;1;2;17;0;9;2;50;10
Trofa;0;3;5;0;0;24;25;0;0;162;7;1;0;0;0;19;13;1;0;1;0;0;3;0;0;0;0;0;0;2;43;0;0;0;0;56;2;0;0;2;0;0;9;0;0;2;0;0;538;2;0;0;0;0;0;0;0;0;0;0;0;0;8;32;1;32;14;14;2
Oliveira de Azeméis;1;9;4;2;1;302;2;0;1;31;12;5;2;11;0;282;50;0;0;8;0;4;4;0;8;0;0;0;1;16;98;0;0;19;0;37;2;4;0;0;88;5;9;4;0;2;2;0;521;0;2;86;2;0;1;1;0;0;4;0;0;1;5;7;0;1;15;32;54
Felgueiras;2;1;3;0;2;45;11;0;0;191;84;3;0;8;3;98;24;0;0;1;23;4;319;0;7;3;0;2;2;5;42;0;0;26;0;39;0;8;1;0;0;0;55;0;0;1;2;1;409;3;0;0;1;0;0;0;0;0;2;0;0;2;9;11;0;18;2;145;10
Aveiro;3;152;8;5;0;2290;2;0;1;58;15;4;7;8;0;460;42;0;0;18;0;9;0;0;27;1;0;0;3;17;239;0;0;27;0;18;0;0;1;14;26;2;12;2;0;0;3;0;407;2;2;17;1;0;9;1;0;0;12;0;0;0;1;2;0;5;6;29;69
