Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2013/14 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"                                 Município do
Município                             estab.
de residência";;;16I1401;16D0101;1701503;1701115;2004301;16D0105;1120302;1701504;1840205;1120303;11E0402;16B1006;1701105;16H0502;11B1703;16E0603;16J0503;1861207;11A0107;1870705;1190307;1500805;11C1303;3003103;16J0907;1190308;2004701;16H0505;11D1805;16F1009;1701106;1500808;11E0405;11A1306;16F1010;11A1308;1111603;11E0407;1701116;1701110;11A0113;16E0611;11A1310;16B1014;2004203;1111607;1861214;1500811;11A1312;1190309;1851414;11A0109;1851416;1811509;16J0912;1701512;1500813;1701111;16I1418;16I1419;16B1113;1111608;1111609;11A1316;1111610;1190312;11A1317;11D1714;16G1823
;;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
;Portugal;350 133; 390; 868;10 032; 440; 645;12 392;3 161; 503;2 549;17 927;4 926;1 280;2 340;3 436; 268;33 584;6 480; 271; 61;5 802; 334;7 450;1 373;3 069;2 310; 57; 23; 414; 456;8 106;106 811; 174; 26;4 214; 121;4 710; 144; 840; 668;4 873; 446; 290;1 688;1 048;2 441; 563;1 509; 789;56 252; 182; 721; 457;2 641; 52; 270;5 138; 194; 163;1 940; 96; 106; 323;3 114;1 455; 81;1 349;1 240;6 711;5 346
16I1401;Abrantes;1 250; 134; 2; 31; 2; 0; 33; 0; 0; 6; 3; 3; 4; 8; 65; 0; 106; 51; 2; 0; 39; 0; 9; 0; 0; 2; 0; 0; 5; 0; 49; 465; 0; 0; 1; 0; 0; 0; 0; 1; 12; 0; 0; 0; 9; 0; 0; 26; 1; 20; 0; 12; 0; 38; 0; 0; 3; 0; 0; 93; 11; 0; 0; 0; 0; 0; 0; 0; 3; 1
16D0101;Águeda;1 435; 0; 190; 4; 0; 0; 409; 1; 0; 0; 16; 2; 0; 0; 11; 0; 335; 43; 0; 0; 8; 0; 7; 1; 0; 25; 0; 0; 1; 1; 17; 117; 1; 0; 1; 0; 5; 0; 2; 0; 4; 12; 3; 8; 3; 0; 0; 3; 0; 101; 0; 0; 0; 1; 0; 4; 2; 0; 0; 3; 0; 0; 0; 4; 3; 0; 1; 1; 16; 69
16G0901;Aguiar da Beira; 136; 0; 0; 2; 0; 0; 9; 0; 0; 0; 3; 1; 0; 0; 3; 0; 18; 23; 0; 0; 2; 0; 1; 0; 0; 6; 0; 0; 0; 1; 0; 12; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 4; 0; 1; 0; 3; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 3; 40
1870701;Alandroal; 73; 0; 0; 5; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 1; 0; 3; 0; 2; 0; 24; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 10; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16D0102;Albergaria-a-Velha; 638; 0; 42; 3; 2; 0; 226; 1; 0; 0; 9; 0; 3; 0; 3; 0; 96; 46; 0; 0; 3; 0; 1; 2; 0; 8; 0; 0; 0; 0; 5; 26; 0; 0; 1; 0; 2; 0; 3; 0; 2; 15; 0; 1; 1; 1; 0; 1; 0; 95; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 2; 7; 25
1500801;Albufeira; 938; 0; 0; 24; 0; 0; 6; 1; 0; 28; 2; 0; 4; 3; 4; 0; 17; 16; 1; 0; 40; 0; 428; 0; 0; 0; 0; 0; 1; 0; 4; 222; 18; 0; 0; 0; 1; 0; 2; 0; 12; 1; 0; 3; 0; 0; 0; 3; 39; 19; 0; 3; 0; 2; 0; 0; 5; 20; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 2; 3
1811501;Alcácer do Sal; 235; 0; 0; 11; 0; 0; 3; 0; 0; 26; 0; 0; 0; 2; 0; 0; 2; 4; 0; 0; 48; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 75; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 3; 1; 0; 37; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16I1402;Alcanena; 381; 3; 0; 15; 1; 0; 16; 0; 0; 0; 0; 2; 6; 4; 6; 0; 27; 11; 1; 0; 14; 0; 7; 0; 0; 0; 0; 0; 1; 0; 43; 143; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 3; 0; 6; 0; 1; 3; 0; 6; 0; 5; 0; 25; 0; 0; 1; 0; 0; 19; 4; 0; 0; 0; 0; 0; 0; 0; 1; 1
