,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Macedo de Cavaleiros,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Abrantes,123.00,2.00,36.00,3.00,0.00,25.00,0.00,0.00,5.00,2.00,2.00,4.00,9.00,59.00,0.00,105.00,56.00,0.00,0.00,41.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,41.00,382.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.00,11.00,0.00,0.00,0.00,5.00,0.00,0.00,20.00,2.00,22.00,0.00,6.00,0.00,34.00,0.00,1.00,1.00,0.00,0.00,78.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00
Águeda,1.00,171.00,0.00,0.00,0.00,377.00,1.00,0.00,0.00,11.00,3.00,0.00,0.00,11.00,0.00,334.00,33.00,0.00,0.00,9.00,0.00,9.00,0.00,0.00,20.00,0.00,0.00,2.00,2.00,21.00,144.00,0.00,0.00,2.00,0.00,7.00,0.00,3.00,0.00,5.00,13.00,4.00,3.00,4.00,0.00,1.00,3.00,0.00,97.00,0.00,2.00,0.00,1.00,0.00,4.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,1.00,12.00,17.00,80.00
Aguiar da Beira,2.00,0.00,1.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,18.00,22.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,36.00
Alandroal,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,3.00,0.00,23.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albergaria-a-Velha,0.00,35.00,3.00,1.00,0.00,217.00,1.00,0.00,0.00,4.00,1.00,4.00,0.00,2.00,0.00,91.00,44.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,7.00,0.00,0.00,0.00,0.00,6.00,33.00,0.00,0.00,2.00,0.00,2.00,1.00,2.00,0.00,1.00,23.00,0.00,0.00,2.00,1.00,2.00,1.00,0.00,76.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,6.00,7.00,22.00
Albufeira,0.00,0.00,22.00,0.00,0.00,6.00,1.00,0.00,13.00,3.00,0.00,2.00,3.00,3.00,0.00,19.00,14.00,2.00,0.00,30.00,0.00,377.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,252.00,8.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,15.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,23.00,14.00,0.00,2.00,0.00,1.00,0.00,0.00,6.00,18.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,4.00
Alcácer do Sal,0.00,0.00,12.00,0.00,0.00,2.00,0.00,0.00,21.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,5.00,0.00,0.00,44.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,31.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Alcanena,2.00,0.00,12.00,1.00,0.00,15.00,0.00,0.00,0.00,0.00,2.00,5.00,3.00,6.00,0.00,31.00,12.00,1.00,0.00,12.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,7.00,0.00,1.00,1.00,0.00,4.00,0.00,4.00,0.00,19.00,0.00,0.00,1.00,0.00,0.00,16.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00
Alcobaça,4.00,2.00,61.00,5.00,0.00,55.00,0.00,1.00,7.00,6.00,2.00,57.00,11.00,13.00,0.00,209.00,25.00,1.00,0.00,47.00,0.00,13.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,471.00,759.00,0.00,0.00,1.00,5.00,2.00,0.00,3.00,0.00,28.00,0.00,1.00,1.00,45.00,0.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00,31.00,0.00,1.00,6.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,5.00
Alcochete,0.00,0.00,29.00,3.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,2.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,10.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,354.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,52.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Alcoutim,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alenquer,2.00,0.00,40.00,0.00,0.00,5.00,1.00,1.00,1.00,2.00,2.00,16.00,9.00,6.00,0.00,13.00,3.00,2.00,0.00,12.00,0.00,9.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,11.00,596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,26.00,0.00,0.00,0.00,8.00,4.00,0.00,3.00,0.00,6.00,0.00,16.00,0.00,95.00,0.00,0.00,5.00,0.00,1.00,5.00,0.00,6.00,1.00,1.00,0.00,0.00,0.00,1.00,4.00,1.00
Alfândega da Fé,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,1.00,6.00,63.00,0.00,0.00,1.00,0.00,26.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,16.00,0.00
Alijó,0.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,0.00,3.00,53.00,0.00,0.00,0.00,1.00,11.00,5.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,10.00,0.00,0.00,0.00,0.00,2.00,0.00,15.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,32.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,106.00,3.00
Aljezur,0.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,12.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Aljustrel,0.00,0.00,12.00,0.00,0.00,0.00,0.00,1.00,94.00,1.00,0.00,0.00,2.00,1.00,0.00,2.00,0.00,1.00,0.00,9.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Almada,1.00,0.00,1242.00,9.00,2.00,10.00,0.00,29.00,7.00,3.00,1.00,12.00,60.00,9.00,0.00,24.00,19.00,2.00,0.00,39.00,0.00,17.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,12.00,3314.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,11.00,84.00,0.00,1.00,0.00,5.00,0.00,1.00,2.00,1.00,14.00,0.00,5.00,0.00,5.00,0.00,2.00,295.00,0.00,3.00,5.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,3.00,4.00,4.00
