,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Abrantes,104.00,2.00,32.00,2.00,0.00,26.00,0.00,1.00,2.00,3.00,3.00,2.00,7.00,70.00,0.00,114.00,58.00,2.00,0.00,32.00,0.00,5.00,0.00,1.00,2.00,0.00,0.00,7.00,0.00,41.00,365.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,12.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,16.00,2.00,9.00,0.00,6.00,0.00,41.00,0.00,2.00,5.00,1.00,0.00,83.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00
Águeda,1.00,148.00,2.00,0.00,0.00,325.00,2.00,0.00,2.00,13.00,2.00,4.00,0.00,10.00,0.00,367.00,35.00,0.00,0.00,8.00,0.00,10.00,0.00,0.00,20.00,0.00,0.00,2.00,2.00,25.00,148.00,0.00,2.00,0.00,6.00,0.00,2.00,0.00,4.00,12.00,6.00,2.00,0.00,2.00,0.00,1.00,1.00,0.00,93.00,0.00,4.00,0.00,2.00,0.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,2.00,0.00,1.00,14.00,18.00,84.00
Aguiar da Beira,2.00,0.00,1.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,22.00,19.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,25.00
Alandroal,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,1.00,5.00,0.00,28.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albergaria-a-Velha,1.00,33.00,1.00,1.00,0.00,216.00,0.00,0.00,0.00,5.00,1.00,3.00,0.00,7.00,0.00,101.00,41.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,11.00,0.00,0.00,0.00,0.00,5.00,34.00,0.00,1.00,0.00,3.00,0.00,1.00,0.00,1.00,23.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,79.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,8.00,26.00
Albufeira,0.00,0.00,23.00,1.00,0.00,8.00,1.00,0.00,20.00,3.00,0.00,3.00,5.00,3.00,0.00,27.00,11.00,2.00,0.00,33.00,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,275.00,4.00,2.00,0.00,1.00,0.00,2.00,0.00,17.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,3.00,26.00,14.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,16.00,1.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,2.00,4.00
Alcácer do Sal,0.00,0.00,14.00,0.00,0.00,2.00,0.00,0.00,22.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,6.00,0.00,0.00,41.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Alcanena,2.00,0.00,12.00,1.00,0.00,12.00,0.00,0.00,1.00,0.00,1.00,6.00,1.00,8.00,0.00,29.00,10.00,1.00,0.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,11.00,0.00,1.00,2.00,0.00,4.00,0.00,7.00,0.00,25.00,0.00,0.00,1.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,2.00
Alcobaça,4.00,4.00,56.00,5.00,0.00,47.00,0.00,1.00,4.00,7.00,3.00,66.00,12.00,16.00,0.00,190.00,20.00,1.00,0.00,43.00,0.00,8.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,441.00,715.00,0.00,0.00,8.00,3.00,0.00,3.00,0.00,35.00,0.00,0.00,1.00,0.00,51.00,0.00,0.00,8.00,0.00,27.00,0.00,34.00,0.00,44.00,0.00,1.00,7.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00
Alcochete,0.00,0.00,39.00,2.00,0.00,1.00,0.00,3.00,1.00,1.00,0.00,3.00,6.00,0.00,0.00,4.00,3.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,345.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,2.00,0.00,0.00,54.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Alcoutim,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alenquer,1.00,0.00,52.00,0.00,0.00,5.00,1.00,1.00,2.00,0.00,3.00,16.00,7.00,7.00,0.00,14.00,5.00,3.00,0.00,11.00,0.00,12.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,12.00,634.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,20.00,0.00,0.00,0.00,0.00,10.00,2.00,0.00,3.00,0.00,6.00,0.00,18.00,0.00,93.00,0.00,1.00,6.00,0.00,2.00,3.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00
Alfândega da Fé,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,51.00,0.00,0.00,1.00,0.00,13.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,17.00,0.00
