,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por concelho do estabelecimento de ensino superior e concelho da residência permanente do aluno, em 2016/17 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Abrantes,105.00,1.00,29.00,1.00,0.00,0.00,19.00,0.00,1.00,3.00,3.00,2.00,4.00,7.00,62.00,0.00,117.00,66.00,2.00,29.00,0.00,6.00,0.00,2.00,1.00,0.00,7.00,0.00,43.00,357.00,0.00,0.00,0.00,0.00,1.00,0.00,9.00,1.00,0.00,0.00,0.00,8.00,0.00,0.00,17.00,1.00,17.00,9.00,0.00,40.00,0.00,3.00,5.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,4.00
Águeda,2.00,131.00,2.00,0.00,0.00,0.00,297.00,1.00,0.00,0.00,18.00,1.00,6.00,0.00,12.00,0.00,387.00,42.00,0.00,8.00,0.00,9.00,0.00,0.00,20.00,0.00,3.00,5.00,29.00,131.00,2.00,0.00,6.00,0.00,2.00,0.00,5.00,5.00,5.00,1.00,0.00,3.00,0.00,1.00,1.00,0.00,118.00,4.00,0.00,1.00,0.00,3.00,1.00,0.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,1.00,16.00,18.00,93.00
Aguiar da Beira,1.00,0.00,1.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,0.00,16.00,21.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,1.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,26.00
Alandroal,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,13.00,0.00,0.00,0.00,1.00,2.00,0.00,3.00,1.00,4.00,29.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albergaria-a-Velha,1.00,38.00,3.00,0.00,0.00,0.00,218.00,1.00,0.00,0.00,7.00,1.00,3.00,0.00,5.00,0.00,102.00,38.00,0.00,1.00,0.00,0.00,2.00,0.00,11.00,0.00,0.00,0.00,5.00,35.00,4.00,0.00,3.00,0.00,0.00,0.00,2.00,17.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,88.00,0.00,6.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,10.00,27.00
Albufeira,0.00,2.00,26.00,1.00,0.00,0.00,7.00,0.00,0.00,25.00,5.00,1.00,3.00,2.00,3.00,0.00,29.00,11.00,2.00,40.00,0.00,340.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,270.00,3.00,0.00,2.00,0.00,3.00,0.00,10.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,18.00,10.00,1.00,0.00,1.00,0.00,0.00,8.00,14.00,1.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,1.00,3.00
Alcácer do Sal,1.00,0.00,15.00,0.00,0.00,0.00,1.00,1.00,0.00,19.00,0.00,0.00,1.00,1.00,1.00,0.00,4.00,6.00,0.00,43.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
Alcanena,3.00,0.00,6.00,0.00,0.00,0.00,9.00,0.00,0.00,1.00,0.00,2.00,2.00,2.00,9.00,0.00,29.00,12.00,0.00,9.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,136.00,0.00,0.00,1.00,0.00,1.00,0.00,11.00,1.00,1.00,0.00,0.00,14.00,0.00,1.00,3.00,0.00,6.00,3.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,2.00
Alcobaça,3.00,5.00,51.00,3.00,0.00,0.00,52.00,1.00,0.00,4.00,7.00,4.00,62.00,18.00,22.00,0.00,184.00,24.00,1.00,45.00,0.00,13.00,0.00,0.00,6.00,0.00,0.00,0.00,444.00,530.00,0.00,4.00,2.00,0.00,1.00,0.00,33.00,0.00,1.00,2.00,0.00,62.00,0.00,0.00,8.00,0.00,31.00,29.00,0.00,47.00,0.00,0.00,5.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00
