,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Abrantes,100.00,1.00,30.00,1.00,0.00,0.00,17.00,0.00,22.00,4.00,4.00,1.00,11.00,7.00,62.00,0.00,118.00,65.00,0.00,30.00,0.00,8.00,0.00,1.00,2.00,0.00,5.00,0.00,53.00,380.00,0.00,0.00,1.00,0.00,3.00,0.00,11.00,2.00,0.00,0.00,0.00,14.00,0.00,0.00,22.00,1.00,19.00,9.00,0.00,38.00,1.00,4.00,0.00,0.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00
Águeda,1.00,120.00,8.00,0.00,0.00,0.00,295.00,3.00,0.00,0.00,10.00,3.00,4.00,0.00,13.00,0.00,366.00,51.00,0.00,13.00,0.00,9.00,1.00,0.00,20.00,0.00,3.00,8.00,28.00,171.00,2.00,0.00,10.00,0.00,1.00,0.00,3.00,16.00,7.00,0.00,0.00,3.00,1.00,1.00,2.00,0.00,128.00,0.00,2.00,0.00,2.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,15.00,97.00
Aguiar da Beira,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,25.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,2.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,36.00
Alandroal,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,4.00,29.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albergaria-a-Velha,2.00,43.00,4.00,0.00,0.00,0.00,215.00,1.00,0.00,0.00,12.00,2.00,4.00,0.00,2.00,0.00,119.00,27.00,1.00,0.00,0.00,2.00,0.00,0.00,10.00,0.00,3.00,1.00,10.00,41.00,4.00,0.00,3.00,0.00,0.00,0.00,4.00,19.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00,0.00,3.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,7.00,30.00
Albufeira,0.00,2.00,18.00,0.00,0.00,1.00,3.00,0.00,0.00,30.00,3.00,1.00,5.00,3.00,0.00,0.00,41.00,5.00,2.00,47.00,0.00,351.00,0.00,0.00,2.00,0.00,1.00,0.00,13.00,311.00,4.00,0.00,0.00,0.00,2.00,0.00,15.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,1.00,34.00,10.00,5.00,0.00,2.00,0.00,7.00,9.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,1.00
Alcácer do Sal,2.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,31.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,0.00,0.00,1.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
Alcanena,4.00,1.00,2.00,0.00,0.00,0.00,12.00,0.00,0.00,1.00,2.00,3.00,2.00,0.00,6.00,0.00,34.00,17.00,0.00,12.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,48.00,124.00,0.00,0.00,1.00,0.00,0.00,0.00,8.00,1.00,2.00,0.00,0.00,12.00,0.00,0.00,3.00,0.00,5.00,5.00,0.00,11.00,0.00,1.00,0.00,0.00,16.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00
Alcobaça,1.00,6.00,35.00,1.00,0.00,1.00,61.00,1.00,0.00,7.00,10.00,5.00,81.00,20.00,31.00,0.00,170.00,32.00,4.00,39.00,0.00,14.00,1.00,0.00,4.00,0.00,2.00,0.00,477.00,529.00,0.00,9.00,3.00,0.00,0.00,0.00,21.00,3.00,1.00,1.00,0.00,64.00,0.00,0.00,6.00,2.00,36.00,16.00,0.00,32.00,0.00,3.00,0.00,0.00,18.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,11.00
Alcochete,0.00,0.00,41.00,2.00,0.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00,0.00,7.00,1.00,0.00,4.00,2.00,1.00,17.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,425.00,0.00,0.00,0.00,0.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,83.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alcoutim,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,4.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alenquer,3.00,0.00,39.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,2.00,3.00,8.00,11.00,4.00,0.00,12.00,9.00,1.00,18.00,0.00,13.00,0.00,0.00,3.00,0.00,1.00,0.00,19.00,721.00,0.00,0.00,1.00,0.00,0.00,2.00,23.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,8.00,0.00,8.00,13.00,0.00,115.00,1.00,7.00,0.00,3.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
