,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Abrantes,87.00,0.00,32.00,1.00,0.00,0.00,15.00,0.00,15.00,4.00,3.00,1.00,13.00,10.00,69.00,0.00,106.00,82.00,2.00,20.00,0.00,8.00,0.00,2.00,2.00,0.00,5.00,0.00,63.00,326.00,1.00,0.00,1.00,0.00,3.00,0.00,10.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,22.00,1.00,20.00,13.00,0.00,42.00,0.00,3.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00
Águeda,0.00,129.00,7.00,0.00,0.00,0.00,300.00,1.00,0.00,2.00,17.00,3.00,1.00,9.00,16.00,0.00,354.00,60.00,0.00,14.00,0.00,8.00,1.00,1.00,20.00,0.00,3.00,7.00,26.00,178.00,1.00,0.00,12.00,0.00,1.00,0.00,2.00,17.00,9.00,0.00,0.00,2.00,3.00,1.00,1.00,1.00,133.00,1.00,3.00,1.00,1.00,5.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,1.00,10.00,19.00,96.00
Aguiar da Beira,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,30.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,2.00,0.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,45.00
Alandroal,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,3.00,0.00,5.00,3.00,8.00,33.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albergaria-a-Velha,1.00,42.00,5.00,0.00,0.00,0.00,248.00,0.00,0.00,1.00,12.00,1.00,4.00,2.00,4.00,0.00,134.00,30.00,1.00,0.00,0.00,2.00,0.00,0.00,10.00,0.00,2.00,1.00,10.00,39.00,4.00,0.00,3.00,1.00,0.00,0.00,3.00,24.00,3.00,1.00,0.00,2.00,1.00,1.00,0.00,0.00,85.00,0.00,5.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,4.00,7.00,27.00
Albufeira,1.00,1.00,18.00,0.00,0.00,0.00,5.00,0.00,0.00,37.00,3.00,1.00,3.00,8.00,1.00,0.00,43.00,8.00,2.00,50.00,0.00,360.00,0.00,0.00,2.00,0.00,1.00,0.00,14.00,278.00,3.00,0.00,0.00,0.00,1.00,0.00,11.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,42.00,11.00,7.00,0.00,4.00,0.00,8.00,7.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,4.00,2.00,2.00
Alcácer do Sal,1.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,35.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Alcanena,3.00,1.00,2.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,2.00,2.00,5.00,5.00,5.00,0.00,37.00,25.00,0.00,13.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,48.00,118.00,0.00,0.00,2.00,0.00,0.00,0.00,7.00,1.00,1.00,0.00,1.00,14.00,0.00,0.00,2.00,0.00,3.00,5.00,0.00,15.00,0.00,1.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00
Alcobaça,2.00,3.00,30.00,2.00,0.00,1.00,68.00,1.00,0.00,9.00,12.00,3.00,73.00,27.00,31.00,0.00,193.00,34.00,4.00,39.00,0.00,18.00,1.00,0.00,4.00,0.00,3.00,1.00,472.00,526.00,0.00,14.00,3.00,0.00,6.00,0.00,19.00,3.00,1.00,1.00,0.00,66.00,0.00,0.00,4.00,2.00,33.00,25.00,0.00,45.00,0.00,2.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,9.00
Alcochete,0.00,0.00,38.00,2.00,0.00,0.00,3.00,0.00,3.00,3.00,2.00,0.00,1.00,14.00,0.00,0.00,3.00,2.00,1.00,18.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,452.00,0.00,0.00,0.00,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,6.00,1.00,86.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alcoutim,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alenquer,3.00,1.00,49.00,1.00,0.00,0.00,3.00,0.00,0.00,2.00,3.00,4.00,9.00,13.00,7.00,0.00,15.00,9.00,0.00,22.00,0.00,10.00,0.00,0.00,3.00,0.00,1.00,0.00,29.00,746.00,0.00,0.00,2.00,0.00,0.00,1.00,21.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,5.00,0.00,11.00,24.00,0.00,162.00,0.00,7.00,0.00,3.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00
Alfândega da Fé,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,3.00,48.00,0.00,0.00,5.00,0.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,2.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,14.00,1.00
Alijó,0.00,0.00,0.00,0.00,0.00,0.00,7.00,1.00,0.00,0.00,8.00,36.00,0.00,0.00,2.00,1.00,11.00,5.00,0.00,3.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,5.00,0.00,10.00,2.00,0.00,3.00,0.00,17.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,102.00,8.00
Aljezur,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,1.00,0.00,0.00,0.00,7.00,5.00,0.00,6.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
