Universidades portuguesas entre as melhores a nível mundial;;;;;;;
;;;;;;;
Universidade;2014;2015;2016;2017;2018;2019;2020
Universidade de Lisboa;278;257;275;266;220;228;206
Universidade do Porto;290;308;331;313;227;322;318
Universidade de Coimbra;545;507;481;457;403;416;408
Universidade Nova de Lisboa;632;612;581;594;439;532;520
Universidade do Minho;679;629;595;592;522;616;587
Universidade de Aveiro;553;557;585;581;551;593;591
Universidade do Algarve;962;996;-;-;-;1168;1178
;;;;;;;
;;;;;;;
;;;;;;;
https://cwur.org;;;;;;;
