PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Ciências Agrárias;9022;Licenciatura;71;35;36;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Guias da Natureza;9382;Licenciatura;52;27;25;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História;9181;Licenciatura;37;20;17;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Psicologia;9219;Licenciatura;125;34;91;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Serviço Social;9238;Licenciatura;137;21;116;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Sociologia;9240;Licenciatura;74;17;57;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura;133;45;88;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Básica;9853;Licenciatura;125;14;111;2014/15
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Portugueses e Ingleses;L041;Licenciatura;11;3;8;2014/15
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura;76;51;25;2014/15
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biologia;9011;Licenciatura;98;35;63;2014/15
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura;105;100;5;2014/15
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Economia;9081;Licenciatura;83;52;31;2014/15
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão;9147;Licenciatura;371;196;175;2014/15
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Turismo;9254;Licenciatura;130;63;67;2014/15
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Publico;Politecnico;Enfermagem;9500;Licenciatura;150;44;106;2014/15
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Publico;Politecnico;Enfermagem;9500;Licenciatura;200;43;157;2014/15
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;155;42;113;2014/15
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura;50;20;30;2014/15
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;60;14;46;2014/15
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura;194;33;161;2014/15
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura;55;19;36;2014/15
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura;77;9;68;2014/15
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura;81;26;55;2014/15
