,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2015 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Resultados,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
0110,8031,Universidade dos Açores - Angra do Heroísmo,Ciências Farmacêuticas (Preparatórios),PM,15,11,129.3,4
0110,8086,Universidade dos Açores - Angra do Heroísmo,Medicina Veterinária (Preparatórios),PM,13,13,145.5,0
0110,9022,Universidade dos Açores - Angra do Heroísmo,Ciências Agrárias,L1,20,4,119.0,16
0110,9382,Universidade dos Açores - Angra do Heroísmo,Guias da Natureza,L1,20,14,115.3,6
0110,9934,Universidade dos Açores - Angra do Heroísmo,Energias Renováveis,L1,20,2,,18
0130,8082,Universidade dos Açores - Ponta Delgada,Arquitetura (Preparatórios),PM,20,5,173.0,15
0130,8083,Universidade dos Açores - Ponta Delgada,Ciclo Básico de Medicina,PM,38,38,177.3,0
0130,8421,Universidade dos Açores - Ponta Delgada,Filosofia e Cultura Portuguesa (regime pós-laboral),L1,20,0,,20
0130,8524,Universidade dos Açores - Ponta Delgada,Proteção Civil e Gestão de Riscos,L1,20,10,109.4,10
0130,9011,Universidade dos Açores - Ponta Delgada,Biologia,L1,30,20,103.5,10
0130,9041,Universidade dos Açores - Ponta Delgada,Ciências do Mar,L1,20,8,116.8,12
0130,9081,Universidade dos Açores - Ponta Delgada,Economia,L1,20,20,112.1,0
0130,9147,Universidade dos Açores - Ponta Delgada,Gestão,L1,44,44,118.5,0
0130,9181,Universidade dos Açores - Ponta Delgada,História,L1,20,8,113.0,12
0130,9219,Universidade dos Açores - Ponta Delgada,Psicologia,L1,28,28,128.0,0
0130,9238,Universidade dos Açores - Ponta Delgada,Serviço Social,L1,25,26,111.6,0
0130,9240,Universidade dos Açores - Ponta Delgada,Sociologia,L1,26,25,108.7,1
0130,9254,Universidade dos Açores - Ponta Delgada,Turismo,L1,25,25,129.4,0
0130,9384,Universidade dos Açores - Ponta Delgada,Informática - Redes e Multimédia,L1,25,12,115.1,13
0130,9798,Universidade dos Açores - Ponta Delgada,Relações Públicas e Comunicação,L1,35,35,117.2,0
0130,9853,Universidade dos Açores - Ponta Delgada,Educação Básica,L1,20,20,114.5,0
0130,9864,Universidade dos Açores - Ponta Delgada,Ciênc de Engenharia-Eng Civil; Eng Mecânica; Eng Eletrot e de Comput (Pre),PM,22,9,130.0,13
0130,L041,Universidade dos Açores - Ponta Delgada,Estudos Portugueses e Ingleses,L1,20,7,127.0,13
0130,L086,Universidade dos Açores - Ponta Delgada,Estudos Euro-Atlânticos,L1,20,9,112.9,11
0200,9351,Universidade do Algarve,Ciências Biomédicas,L1,48,48,131.7,0
0201,8509,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,L1,25,16,106.4,9
0201,9204,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",L1,21,18,101.0,3
0201,9219,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,L1,60,61,136.3,0
0201,9817,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,L1,25,21,108.1,4
0201,9821,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,L1,27,27,106.0,0
0201,9834,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas e Comunicação,L1,25,27,112.6,0
0203,8258,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Arquitetura Paisagista,L1,25,12,110.0,13
0203,8419,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Agronomia (regime pós-laboral),L1,20,1,144.0,19
0203,9011,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia,L1,40,33,108.0,7
0203,9013,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia Marinha,L1,50,50,122.1,0
0203,9015,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioquímica,L1,21,9,95.0,12
0203,9016,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biotecnologia,L1,20,20,113.0,0
0203,9119,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,50,50,119.4,0
0203,9494,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,MI,42,42,125.1,0
0204,9081,Universidade do Algarve - Faculdade de Economia,Economia,L1,25,25,124.2,0
0204,9152,Universidade do Algarve - Faculdade de Economia,Gestão de Empresas,L1,55,58,129.0,0
0204,9240,Universidade do Algarve - Faculdade de Economia,Sociologia,L1,25,26,115.1,0
0300,9002,Universidade de Aveiro,Administração Pública,L1,57,59,127.2,0
0300,9011,Universidade de Aveiro,Biologia,L1,94,94,134.6,0
0300,9012,Universidade de Aveiro,Biologia e Geologia,L1,28,28,117.6,0
0300,9015,Universidade de Aveiro,Bioquímica,L1,55,56,147.6,0
0300,9016,Universidade de Aveiro,Biotecnologia,L1,57,57,153.6,0
0300,9041,Universidade de Aveiro,Ciências do Mar,L1,25,25,119.5,0
0300,9069,Universidade de Aveiro,Design,L1,50,50,159.8,0
0300,9081,Universidade de Aveiro,Economia,L1,50,50,156.4,0
0300,9096,Universidade de Aveiro,Engenharia de Materiais,L1,25,19,111.0,6
0300,9104,Universidade de Aveiro,Engenharia e Gestão Industrial,L1,72,72,142.0,0
0300,9116,Universidade de Aveiro,Engenharia Geológica,L1,20,2,120.6,18
0300,9119,Universidade de Aveiro,Engenharia Informática,L1,47,47,149.2,0
0300,9147,Universidade de Aveiro,Gestão,L1,40,40,159.0,0
0300,9194,Universidade de Aveiro,Línguas e Estudos Editoriais,L1,23,24,133.8,0
0300,9196,Universidade de Aveiro,Línguas e Relações Empresariais,L1,70,71,143.8,0
0300,9204,Universidade de Aveiro,"Línguas, Literaturas e Culturas",L1,30,30,129.6,0
0300,9209,Universidade de Aveiro,Matemática,L1,20,15,108.8,5
0300,9212,Universidade de Aveiro,"Meteorologia, Oceanografia e Geofísica",L1,20,16,107.0,4
0300,9214,Universidade de Aveiro,Música,L1,50,50,145.9,0
0300,9215,Universidade de Aveiro,Novas Tecnologias da Comunicação,L1,66,66,134.0,0
0300,9219,Universidade de Aveiro,Psicologia,L1,30,31,144.0,0
0300,9252,Universidade de Aveiro,Tradução,L1,34,34,124.8,0
0300,9254,Universidade de Aveiro,Turismo,L1,23,23,141.8,0
0300,9351,Universidade de Aveiro,Ciências Biomédicas,L1,67,67,164.3,0
0300,9360,Universidade de Aveiro,Engenharia Civil,MI,20,6,110.4,14
0300,9361,Universidade de Aveiro,Engenharia de Computadores e Telemática,MI,76,76,137.0,0
0300,9365,Universidade de Aveiro,Engenharia Eletrónica e Telecomunicações,MI,91,87,111.2,4
0300,9369,Universidade de Aveiro,Engenharia Mecânica,MI,102,102,138.8,0
0300,9508,Universidade de Aveiro,Engenharia do Ambiente,MI,35,18,114.2,17
0300,9853,Universidade de Aveiro,Educação Básica,L1,48,48,127.0,0
0300,A008,Universidade de Aveiro,Engenharia Física (MI) + Física (L1),L1,40,31,116.8,9
0300,A009,Universidade de Aveiro,Engenharia Química (MI) + Química (L1),L1,45,42,112.4,3
0300,L094,Universidade de Aveiro,Reabilitação do Património,L1,20,16,106.4,4
0400,8470,Universidade da Beira Interior,Engenharia Aeronáutica,MI,40,40,159.1,0
0400,9015,Universidade da Beira Interior,Bioquímica,L1,40,41,125.4,0
0400,9016,Universidade da Beira Interior,Biotecnologia,L1,40,40,117.1,0
0400,9020,Universidade da Beira Interior,Ciência Política e Relações Internacionais,L1,32,33,136.8,0
0400,9023,Universidade da Beira Interior,Ciências da Comunicação,L1,45,46,137.0,0
0400,9025,Universidade da Beira Interior,Ciências da Cultura,L1,20,20,121.4,0
0400,9048,Universidade da Beira Interior,Cinema,L1,45,46,130.6,0
0400,9071,Universidade da Beira Interior,Design de Moda,L1,50,50,133.7,0
0400,9074,Universidade da Beira Interior,Design Industrial,L1,35,37,111.5,0
0400,9075,Universidade da Beira Interior,Design Multimédia,L1,40,41,125.7,0
0400,9081,Universidade da Beira Interior,Economia,L1,45,45,128.0,0
0400,9105,Universidade da Beira Interior,Engenharia Eletromecânica,L1,30,27,121.5,3
0400,9112,Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,L1,20,7,123.7,13
0400,9119,Universidade da Beira Interior,Engenharia Informática,L1,60,61,126.1,0
0400,9147,Universidade da Beira Interior,Gestão,L1,57,60,135.5,0
