,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2018 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Classificações dos últimos colocados pelo contingente geral,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Nome da Instituição,Nome do Curso,Grau,Vagas Iniciais,Colocados ,Nota do últ. colocado (cont. geral),"Sobras para
2ª fase"
(1),(2),(3),(4),(5),(6),(7),(8),(9)
0140,8031,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),PM,15,10,109.0,5
0140,8086,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),PM,15,15,152.0,0
0140,9022,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,L1,20,1,,19
0140,L121,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,L1,30,7,119.3,23
0150,8082,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Arquitetura (Preparatórios),PM,15,3,,12
0150,9181,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,L1,20,11,117.2,9
0150,9219,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,L1,35,35,126.5,0
0150,9238,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,L1,35,35,108.7,0
0150,9240,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,28,9,114.6,19
0150,9798,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Relações Públicas e Comunicação,L1,45,45,111.9,0
0150,9853,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,L1,20,17,112.4,3
0150,L041,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,L1,20,9,118.2,11
0150,L086,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Euro-Atlânticos,L1,25,9,165.8,16
0160,8083,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,PM,38,38,173.8,0
0160,8524,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,L1,25,19,102.8,6
0160,9011,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,L1,25,14,114.6,11
0160,9041,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciências do Mar,L1,20,1,,19
0160,9384,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática - Redes e Multimédia,L1,35,12,120.7,23
0160,9864,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Civil; Eng Mecânica; Eng Eletrot e de Comput (Pre),PM,22,14,136.5,8
0170,9081,Universidade dos Açores - Faculdade de Economia e Gestão,Economia,L1,20,1,,19
0170,9147,Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,L1,50,50,110.3,0
0170,9254,Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,L1,25,25,114.5,0
0200,9351,Universidade do Algarve,Ciências Biomédicas,L1,50,50,128.3,0
0201,8509,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,L1,24,18,101.5,6
0201,9204,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",L1,23,18,103.2,5
0201,9219,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,L1,65,68,137.9,0
0201,9817,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,L1,25,21,121.0,4
0201,9821,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,L1,28,30,110.3,0
0201,9834,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas e Comunicação,L1,30,33,105.8,0
0203,8258,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Arquitetura Paisagista,L1,20,8,116.6,12
0203,9003,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Agronomia,L1,20,1,119.5,19
0203,9011,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia,L1,40,29,100.2,11
0203,9013,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia Marinha,L1,60,57,104.8,3
0203,9015,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioquímica,L1,21,18,110.8,3
0203,9016,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biotecnologia,L1,20,9,110.3,11
0203,9119,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,70,64,109.5,6
0203,9210,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,22,17,120.4,5
0203,9494,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,MI,45,46,123.4,0
0203,L123,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Gestão Marinha e Costeira,L1,28,6,127.0,22
0204,9081,Universidade do Algarve - Faculdade de Economia,Economia,L1,30,17,112.3,13
0204,9152,Universidade do Algarve - Faculdade de Economia,Gestão de Empresas,L1,55,60,126.8,0
0204,9240,Universidade do Algarve - Faculdade de Economia,Sociologia,L1,30,35,107.8,0
0300,9002,Universidade de Aveiro,Administração Pública,L1,55,57,136.0,0
0300,9011,Universidade de Aveiro,Biologia,L1,98,98,136.8,0
0300,9012,Universidade de Aveiro,Biologia e Geologia,L1,27,24,111.2,3
0300,9015,Universidade de Aveiro,Bioquímica,L1,60,60,151.0,0
0300,9016,Universidade de Aveiro,Biotecnologia,L1,58,59,154.0,0
0300,9041,Universidade de Aveiro,Ciências do Mar,L1,30,30,119.5,0
0300,9069,Universidade de Aveiro,Design,L1,53,54,160.0,0
0300,9081,Universidade de Aveiro,Economia,L1,48,48,156.0,0
0300,9119,Universidade de Aveiro,Engenharia Informática,L1,54,54,158.0,0
0300,9141,Universidade de Aveiro,Física,L1,20,20,127.5,0
0300,9146,Universidade de Aveiro,Geologia,L1,20,9,108.0,11
0300,9147,Universidade de Aveiro,Gestão,L1,40,40,159.2,0
0300,9194,Universidade de Aveiro,Línguas e Estudos Editoriais,L1,25,25,143.2,0
0300,9196,Universidade de Aveiro,Línguas e Relações Empresariais,L1,70,71,145.0,0
0300,9204,Universidade de Aveiro,"Línguas, Literaturas e Culturas",L1,29,31,134.6,0
0300,9209,Universidade de Aveiro,Matemática,L1,27,27,124.2,0
0300,9212,Universidade de Aveiro,"Meteorologia, Oceanografia e Geofísica",L1,20,20,101.0,0
0300,9215,Universidade de Aveiro,Novas Tecnologias da Comunicação,L1,66,66,136.4,0
0300,9219,Universidade de Aveiro,Psicologia,L1,33,33,137.0,0
0300,9223,Universidade de Aveiro,Química,L1,20,20,132.0,0
0300,9252,Universidade de Aveiro,Tradução,L1,35,35,135.8,0
0300,9254,Universidade de Aveiro,Turismo,L1,26,26,138.0,0
0300,9351,Universidade de Aveiro,Ciências Biomédicas,L1,72,72,159.3,0
0300,9359,Universidade de Aveiro,Engenharia Biomédica,MI,35,35,164.0,0
0300,9360,Universidade de Aveiro,Engenharia Civil,MI,20,18,112.2,2
0300,9361,Universidade de Aveiro,Engenharia de Computadores e Telemática,MI,83,84,132.5,0
0300,9363,Universidade de Aveiro,Engenharia de Materiais,MI,25,25,142.4,0
0300,9365,Universidade de Aveiro,Engenharia Eletrónica e Telecomunicações,MI,83,83,120.3,0
0300,9368,Universidade de Aveiro,Engenharia Física,MI,40,40,144.5,0
0300,9369,Universidade de Aveiro,Engenharia Mecânica,MI,101,101,145.8,0
0300,9461,Universidade de Aveiro,Engenharia Química,MI,40,40,146.2,0
0300,9508,Universidade de Aveiro,Engenharia do Ambiente,MI,22,22,119.6,0
0300,9509,Universidade de Aveiro,Engenharia e Gestão Industrial,MI,75,75,156.2,0
0300,9853,Universidade de Aveiro,Educação Básica,L1,48,28,114.0,20
0300,G009,Universidade de Aveiro,Engenharia Computacional,MI,22,22,135.8,0
0400,8184,Universidade da Beira Interior,Optometria e Ciências da Visão,L1,35,9,115.3,26
0400,8470,Universidade da Beira Interior,Engenharia Aeronáutica,MI,45,45,162.2,0
0400,9015,Universidade da Beira Interior,Bioquímica,L1,45,45,124.9,0
0400,9016,Universidade da Beira Interior,Biotecnologia,L1,45,44,108.7,1
0400,9020,Universidade da Beira Interior,Ciência Política e Relações Internacionais,L1,35,36,149.5,0
0400,9023,Universidade da Beira Interior,Ciências da Comunicação,L1,45,45,136.6,0
0400,9025,Universidade da Beira Interior,Ciências da Cultura,L1,20,20,106.4,0
0400,9048,Universidade da Beira Interior,Cinema,L1,45,45,132.7,0
0400,9071,Universidade da Beira Interior,Design de Moda,L1,50,51,126.6,0
0400,9074,Universidade da Beira Interior,Design Industrial,L1,35,35,116.5,0
0400,9075,Universidade da Beira Interior,Design Multimédia,L1,40,42,125.9,0
0400,9081,Universidade da Beira Interior,Economia,L1,45,45,126.5,0
0400,9104,Universidade da Beira Interior,Engenharia e Gestão Industrial,L1,22,18,124.5,4
0400,9105,Universidade da Beira Interior,Engenharia Eletromecânica,L1,30,18,108.8,12
0400,9112,Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,L1,20,6,111.4,14
0400,9119,Universidade da Beira Interior,Engenharia Informática,L1,65,65,121.8,0
0400,9147,Universidade da Beira Interior,Gestão,L1,60,60,143.9,0
0400,9205,Universidade da Beira Interior,Marketing,L1,35,33,109.0,2
0400,9219,Universidade da Beira Interior,Psicologia,L1,50,51,142.0,0
0400,9225,Universidade da Beira Interior,Química Industrial,L1,25,18,113.7,7
0400,9240,Universidade da Beira Interior,Sociologia,L1,40,41,113.8,0
0400,9257,Universidade da Beira Interior,Arquitetura,MI,60,41,116.8,19
0400,9351,Universidade da Beira Interior,Ciências Biomédicas,L1,60,60,136.2,0
0400,9360,Universidade da Beira Interior,Engenharia Civil,MI,25,0,,25
0400,9494,Universidade da Beira Interior,Ciências Farmacêuticas,MI,60,60,143.2,0
0400,9540,Universidade da Beira Interior,Bioengenharia,L1,20,16,118.4,4
0400,9707,Universidade da Beira Interior,Ciências do Desporto,L1,60,63,120.7,0
0400,9813,Universidade da Beira Interior,Medicina,MI,140,140,174.3,0
0400,9918,Universidade da Beira Interior,Estudos Portugueses e Espanhóis,L1,25,15,112.9,10
0400,L042,Universidade da Beira Interior,Informática Web,L1,25,9,111.1,16
0501,8408,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,L1,30,30,121.8,0
0501,9011,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,L1,95,96,126.5,0
0501,9015,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,L1,60,60,140.3,0
0501,9104,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,45,45,146.0,0
0501,9119,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,130,130,142.5,0
0501,9141,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,L1,25,25,136.5,0
0501,9146,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,L1,33,24,100.5,9
0501,9209,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,L1,40,40,119.0,0
0501,9223,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,L1,30,30,116.0,0
0501,9257,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,MI,61,61,122.3,0
0501,9359,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,60,60,163.0,0
0501,9360,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,70,21,111.3,49
0501,9367,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,115,87,120.3,28
0501,9368,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,32,32,149.5,0
0501,9369,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,110,110,137.8,0
0501,9448,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,L1,47,48,116.5,0
0501,9461,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,MI,45,45,133.0,0
0501,9508,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,35,8,114.5,27
0501,9891,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,L1,62,63,153.5,0
0502,8067,Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,L1,41,44,149.0,0
0502,9078,Universidade de Coimbra - Faculdade de Direito,Direito,L1,334,338,156.5,0
0503,9081,Universidade de Coimbra - Faculdade de Economia,Economia,L1,154,154,139.5,0
0503,9147,Universidade de Coimbra - Faculdade de Economia,Gestão,L1,89,89,154.0,0
0503,9229,Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,L1,41,41,162.5,0
0503,9240,Universidade de Coimbra - Faculdade de Economia,Sociologia,L1,41,41,133.0,0
0504,9494,Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,MI,186,187,142.3,0
0504,9819,Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,L1,36,36,122.3,0
0504,9832,Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,L1,37,37,117.3,0
0505,8393,Universidade de Coimbra - Faculdade de Letras,Português,L1,36,42,106.0,0
0505,9006,Universidade de Coimbra - Faculdade de Letras,Arqueologia,L1,25,25,118.0,0
0505,9132,Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,L1,35,36,125.5,0
0505,9133,Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,L1,20,21,112.0,0
0505,9135,Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,L1,33,33,144.0,0
0505,9139,Universidade de Coimbra - Faculdade de Letras,Filosofia,L1,28,29,118.5,0
0505,9143,Universidade de Coimbra - Faculdade de Letras,Geografia,L1,56,60,118.5,0
0505,9181,Universidade de Coimbra - Faculdade de Letras,História,L1,63,63,128.0,0
0505,9182,Universidade de Coimbra - Faculdade de Letras,História da Arte,L1,24,25,119.0,0
0505,9694,Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,L1,27,27,128.8,0
0505,9773,Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,L1,50,51,151.0,0
0505,9779,Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,L1,87,95,138.5,0
0505,L109,Universidade de Coimbra - Faculdade de Letras,"Turismo, Território e Patrimónios",L1,40,40,139.5,0
0506,9548,Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,MI,42,42,173.3,0
0506,9813,Universidade de Coimbra - Faculdade de Medicina,Medicina,MI,255,255,177.7,0
0507,9026,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,70,71,122.5,0
0507,9238,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,L1,32,32,138.0,0
0507,9555,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,MI,130,131,150.6,0
0508,8368,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto (regime pós-laboral),L1,25,26,121.3,0
0508,9707,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,L1,95,98,129.3,0
0602,8258,Universidade de Évora - Escola de Ciências e Tecnologia,Arquitetura Paisagista,L1,10,0,,10
0602,8262,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,L1,35,26,118.2,9
0602,9003,Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,L1,39,26,96.0,13
0602,9011,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,L1,50,42,104.1,8
0602,9015,Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,L1,40,30,110.3,10
0602,9016,Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,L1,30,20,111.3,10
0602,9119,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,L1,45,45,122.8,0
0602,9143,Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,L1,20,22,111.1,0
0602,9146,Universidade de Évora - Escola de Ciências e Tecnologia,Geologia,L1,10,7,97.3,3
0602,9210,Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,40,36,113.0,4
0602,9707,Universidade de Évora - Escola de Ciências e Tecnologia,Ciências do Desporto,L1,45,46,123.3,0
0602,9751,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,L1,40,11,114.2,29
0602,9818,Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,L1,39,29,105.0,10
0602,9841,Universidade de Évora - Escola de Ciências e Tecnologia,Reabilitação Psicomotora,L1,27,13,106.7,14
0602,9847,Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,MI,55,55,154.7,0
0602,9910,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia de Energias Renováveis,L1,20,5,120.5,15
0602,L090,Universidade de Évora - Escola de Ciências e Tecnologia,Ecologia e Ambiente,L1,10,10,102.0,0
0603,9069,Universidade de Évora - Escola de Artes,Design,L1,35,36,132.4,0
0603,9243,Universidade de Évora - Escola de Artes,Teatro,L1,22,23,122.6,0
0603,9257,Universidade de Évora - Escola de Artes,Arquitetura,MI,40,33,106.0,7
0603,9347,Universidade de Évora - Escola de Artes,Artes Plásticas e Multimédia,L1,44,32,112.1,12
0604,8251,Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,L1,25,25,121.3,0
0604,9026,Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,L1,22,24,116.3,0
0604,9081,Universidade de Évora - Escola de Ciências Sociais,Economia,L1,40,33,111.5,7
0604,9147,Universidade de Évora - Escola de Ciências Sociais,Gestão,L1,65,65,128.7,0
0604,9219,Universidade de Évora - Escola de Ciências Sociais,Psicologia,L1,52,52,141.7,0
0604,9229,Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,L1,56,57,140.5,0
0604,9240,Universidade de Évora - Escola de Ciências Sociais,Sociologia,L1,34,37,120.4,0
0604,9254,Universidade de Évora - Escola de Ciências Sociais,Turismo,L1,35,35,129.4,0
0604,9787,Universidade de Évora - Escola de Ciências Sociais,Património Cultural,L1,20,21,108.7,0
0604,9853,Universidade de Évora - Escola de Ciências Sociais,Educação Básica,L1,20,2,,18
0604,L047,Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,L1,45,47,109.4,0
0901,9554,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Ciências da Nutrição,L1,20,20,156.5,0
0901,9813,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,MI,231,231,177.2,0
0902,8109,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),L1,25,26,122.0,0
0902,9006,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,L1,27,27,119.0,0
0902,9020,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,L1,70,70,171.0,0
0902,9023,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,L1,80,80,169.0,0
0902,9040,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,L1,20,21,129.0,0
0902,9046,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,L1,45,46,122.5,0
0902,9139,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,L1,25,25,144.5,0
0902,9145,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,L1,60,62,129.5,0
0902,9181,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,L1,45,45,153.5,0
0902,9182,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,L1,40,41,112.0,0
0902,9204,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,"Línguas, Literaturas e Culturas",L1,75,76,145.5,0
0902,9240,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,55,55,137.0,0
0902,9252,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,L1,60,63,151.0,0
0902,9448,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,L1,45,46,115.0,0
